ion,label,ritz_vacuum_wavelength_A,ritz_wavelength_uncertainty_1sigma_A,rest_wavelength_uncertainty_equivalent_m_s,observed_lab_vacuum_wavelength_A,observed_lab_wavelength_uncertainty_1sigma_A,lower_energy_cm_inverse,upper_energy_cm_inverse,lower_configuration,lower_term,lower_J,upper_configuration,upper_term,upper_J,transition_type,line_reference_code,notes
Fe II,Fe II 1608,1608.45083,0.00008,14.910867,1608.45078,0.00008,0.0000,62171.624,3d6.(5D).4s,a 6D,9/2,3d5.(6S).4s.4p.(3P*),y 6P*,7/2,E1,L18349c139,"Odd parity marked *; data are line identification/calibration input, not a cosmic measurement"
Fe II,Fe II 1611,1611.20034,0.00008,14.885422,1611.197,0.005,0.0000,62065.528,3d6.(5D).4s,a 6D,9/2,3d6.(3F2).4p,y 4F*,7/2,E1,L18349c144,"Odd parity marked *; data are line identification/calibration input, not a cosmic measurement"
Fe II,Fe II 2249,2249.87544,0.00009,11.992362,2249.87517,0.00014,0.0000,44446.9051,3d6.(5D).4s,a 6D,9/2,3d6.(5D).4p,z 4D*,7/2,E1,L18349c139,"Odd parity marked *; data are line identification/calibration input, not a cosmic measurement"
Fe II,Fe II 2260,2260.77907,0.00010,13.260582,2260.77906,0.00011,0.0000,44232.5398,3d6.(5D).4s,a 6D,9/2,3d6.(5D).4p,z 4F*,9/2,E1,L18349c139,"Odd parity marked *; data are line identification/calibration input, not a cosmic measurement"
Fe II,Fe II 2344,2344.21274,0.00010,12.788620,2344.21273,0.00012,0.0000,42658.2444,3d6.(5D).4s,a 6D,9/2,3d6.(5D).4p,z 6P*,7/2,E1,L18349c139,"Odd parity marked *; data are line identification/calibration input, not a cosmic measurement"
Fe II,Fe II 2374,2374.46004,0.00010,12.625711,2374.46008,0.00012,0.0000,42114.8380,3d6.(5D).4s,a 6D,9/2,3d6.(5D).4p,z 6F*,9/2,E1,L18349c139,"Odd parity marked *; data are line identification/calibration input, not a cosmic measurement"
Fe II,Fe II 2382,2382.76386,0.00010,12.581711,2382.76390,0.00013,0.0000,41968.0698,3d6.(5D).4s,a 6D,9/2,3d6.(5D).4p,z 6F*,11/2,E1,L18349c139,"Odd parity marked *; data are line identification/calibration input, not a cosmic measurement"
Fe II,Fe II 2586,2586.64928,0.00011,12.748992,2586.64935,0.00013,0.0000,38660.0537,3d6.(5D).4s,a 6D,9/2,3d6.(5D).4p,z 6D*,7/2,E1,L18349c139,"Odd parity marked *; data are line identification/calibration input, not a cosmic measurement"
Fe II,Fe II 2600,2600.17206,0.00011,12.682688,2600.17210,0.00014,0.0000,38458.9934,3d6.(5D).4s,a 6D,9/2,3d6.(5D).4p,z 6D*,9/2,E1,L18349c139,"Odd parity marked *; data are line identification/calibration input, not a cosmic measurement"
Mg II,Mg II 2796,2796.352,,,2796.352,,0.00,35760.88,2p6.3s,2S,1/2,2p6.3p,2P*,3/2,E1,L7414,No explicit ASD wavelength uncertainty; NOT a ppm-grade rest-frequency reference
Mg II,Mg II 2803,2803.531,,,2803.530,,0.00,35669.31,2p6.3s,2S,1/2,2p6.3p,2P*,1/2,E1,L7414,No explicit ASD wavelength uncertainty; NOT a ppm-grade rest-frequency reference
